date|time|description|vendor|amount
2022-07-12|16:20:30|PC motherboard|Newegg|-179.99
2022-08-05|11:45:15|Wireless keyboard|Amazon|-49.99
2022-09-18|14:30:25|Graphics card|Micro Center|399.99
2022-10-22|09:15:40|Laptop charger|Best Buy|-29.95
2022-11-14|13:55:20|External SSD|B&H|-99.99
2023-04-15|10:13:25|ergonomic keyboard|Amazon|89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-29|13:45:25|Webcam|Best Buy|-59.99
2023-04-30|16:30:15|SSD upgrade|Newegg|-89.99
2023-05-01|14:15:10|USB-C hub|Amazon|-29.99
2023-05-02|09:55:40|Printer ink cartridges|Staples|34.50
2023-05-03|11:20:30|Wireless router|Micro Center|79.95
2023-09-04|15:10:20|Laptop cooling pad|B&H|-24.99
2023-09-05|08:40:45|Mechanical keyboard|Office Depot|-79.99
2023-09-06|12:35:25|Anti-virus software|Walmart|49.95
2023-09-07|10:50:10|External SSD|Best Buy|119.99
2023-10-08|13:25:55|Monitor|Amazon|-199.99
2023-10-09|16:05:30|USB flash drive|Staples|9.99
2023-10-10|14:50:40|Gaming mouse|Newegg|-49.99

